우체국명,전화번호,팩스번호,우편번호,동,주소
서대문우체국,02-390-9114,0505-005-1125,3727,창천동,서울 서대문구 성산로20길 9
경찰청우편취급국,02-365-2001,02-365-2006,3739,미근동,서울 서대문구 통일로 97
명지대학교우편취급국,02-300-0950,02-300-0962,3674,남가좌동,서울 서대문구 거북골로 34
서울남가좌1동우편취급국,02-303-7500,02-307-7500,3712,남가좌동,서울서대문구 모래내로 143
서울독립문우편취급국,02-312-0225,02-313-9896,3733,현저동,서울서대문구 독립문공원길 13 극동아파트 상가
서울모래내우체국,02-373-2005,02-376-2866,3690,북가좌동,서울 서대문구 거북골로 160
서울미근동우편취급국,02-365-0315,02-365-0316,3742,충현동,서울서대문구 서소문로 21 충정타워 지하1층
서울신촌우체국,02-362-0205,02-312-0206,3766,대현동,서울 서대문구 신촌로 161
서울연세대학교우체국,02-392-0205,02-312-0104,3722,신촌동,서울 서대문구 연세로 50
서울연희동우체국,02-324-2005,02-3143-2006,3698,연희동,서울 서대문구 증가로 12
서울이화여자대학교우체국,02-363-0205,02-313-0102,3760,대현동,서울 서대문구 이화여대길 52
서울충정로우체국,02-362-0004,02-362-0014,3735,홍제동,서울 서대문구 통일로 127
서울홍은2동우편취급국,02-395-1500,02-395-2749,3658,홍은동,서울서대문구 연희로 261-28
서울홍은미성우편취급국,02-3216-6161,02-3216-6162,3650,홍은동,서울서대문구 연희로41길 37
서울홍제3동우편취급국,02-391-8910,02-394-6676,3619,홍제동,서울서대문구 간호대로 11-24
서울홍제동우체국,02-379-4205,02-3216-1554,3646,홍제동,서울 서대문구 통일로 419
